student_id,session_topic,session_date,session_duration,session_ratio,tutor_id
2298363942,ela,2025-11-13 14:40:00,71,1:5,T65418
2298363942,ela,2025-11-07 11:46:00,77,1:3,T65418
2298363942,math,2026-01-20 14:44:00,26,1:2,T65418
2298363942,math,2025-11-18 14:49:00,84,1:3,T65418
2298363942,math,2025-12-22 10:26:00,37,1:2,T06180
2298363942,ela,2025-12-18 10:06:00,60,1:4,T65418
2298363942,ela,2026-01-05 13:21:00,36,1:4,T65418
2298363942,math,2026-04-06 10:36:00,73,1:1,T65418
2298363942,math,2026-03-30 14:06:00,76,1:2,T65418
2298363942,ela,2026-04-15 09:38:00,75,1:4,T51691
2298363942,math,2025-11-14 12:41:00,47,1:4,T65418
2298363942,ela,2026-03-24 11:34:00,66,1:2,T87865
2298363942,ela,2025-11-04 13:01:00,84,1:1,T65418
2298363942,ela,2026-03-11 09:06:00,56,1:1,T61827
2298363942,math,2026-04-16 10:47:00,57,1:5,T65418
2298363942,ela,2026-04-02 11:23:00,68,1:1,T65418
2298363942,math,2026-01-05 13:31:00,47,1:5,T08728
2298363942,ela,2026-03-27 12:02:00,41,1:2,T65418
2298363942,ela,2026-01-22 10:51:00,31,1:4,T65418
2298363942,ela,2026-01-28 10:11:00,69,1:3,T47538
2298363942,ela,2026-02-16 14:11:00,52,1:1,T65418
2298363942,math,2026-03-17 14:54:00,65,1:1,T65418
2298363942,math,2026-01-13 13:31:00,56,1:3,T61510
2298363942,math,2026-03-19 14:21:00,76,1:1,T65418
2298363942,ela,2026-04-21 12:36:00,80,1:4,T26438
2298363942,math,2026-01-09 09:53:00,60,1:3,T65418
2298363942,math,2025-11-18 14:36:00,85,1:2,T65418
2298363942,math,2026-04-07 09:15:00,47,1:5,T65418
2298363942,ela,2026-04-24 12:52:00,46,1:1,T65418
2298363942,ela,2026-04-22 09:39:00,62,1:1,T65418
2298363942,ela,2026-01-22 14:32:00,66,1:1,T04340
2298363942,math,2026-04-24 10:38:00,80,1:1,T65418
2298363942,ela,2025-11-06 13:43:00,58,1:1,T65418
2298363942,ela,2025-12-04 11:49:00,63,1:1,T65418
2298363942,math,2026-04-09 11:30:00,107,1:1,T65418
2298363942,math,2026-03-17 09:12:00,44,1:2,T65418
2298363942,math,2026-02-26 10:48:00,54,1:3,T65418
2298363942,math,2026-03-19 13:26:00,67,1:2,T65418
2298363942,ela,2026-03-10 11:13:00,89,1:1,T65418
2298363942,math,2026-03-11 12:35:00,52,1:5,T65418
2298363942,math,2025-11-03 14:37:00,35,1:1,T65418
2298363942,math,2026-01-07 09:20:00,85,1:3,T65418
2298363942,ela,2025-12-30 14:54:00,50,1:5,T65418
2298363942,ela,2025-11-06 09:02:00,46,1:2,T65418
2298363942,ela,2026-01-28 11:46:00,52,1:4,T65418
2298363942,ela,2025-12-02 14:12:00,47,1:1,T65418
2298363942,ela,2025-11-24 09:55:00,66,1:4,T65418
2298363942,math,2026-01-20 10:20:00,72,1:3,T65418
2298363942,math,2026-03-24 12:09:00,59,1:5,T65418
2298363942,math,2025-11-18 11:17:00,56,1:3,T65418
2298363942,math,2026-04-24 14:36:00,76,1:2,T65418
2298363942,ela,2025-11-12 13:12:00,47,1:2,T65418
2298363942,math,2025-12-05 13:16:00,47,1:1,T65418
2298363942,ela,2025-11-26 09:56:00,60,1:5,T13517
2298363942,ela,2025-12-08 11:48:00,38,1:2,T65418
2298363942,ela,2025-12-02 14:26:00,36,1:1,T65418
2298363942,math,2026-02-05 12:45:00,51,1:3,T65418
2298363942,math,2026-04-10 09:00:00,54,1:2,T65418
2298363942,math,2025-12-24 14:01:00,77,1:3,T65418
2298363942,ela,2026-02-03 11:23:00,57,1:3,T65418
5750309883,math,2025-12-30 10:14:00,52,1:3,T15006
5750309883,math,2025-12-17 12:32:00,41,1:4,T15006
5750309883,ela,2026-01-15 11:25:00,74,1:1,T15006
5750309883,math,2025-11-03 14:31:00,50,1:5,T15006
5750309883,math,2025-11-12 11:12:00,46,1:3,T15006
5750309883,math,2026-03-24 14:00:00,57,1:4,T11057
5750309883,ela,2025-10-30 13:48:00,75,1:4,T15006
5750309883,ela,2026-01-06 10:33:00,65,1:5,T15006
5750309883,math,2026-01-21 12:31:00,67,1:2,T15006
5750309883,math,2026-03-06 12:11:00,49,1:3,T15006
5750309883,math,2025-11-10 11:37:00,70,1:3,T13517
5750309883,ela,2026-02-23 13:32:00,71,1:2,T28800
5750309883,math,2025-11-19 11:21:00,67,1:2,T15006
5750309883,math,2026-01-28 14:50:00,73,1:1,T15006
5750309883,math,2026-01-02 10:40:00,90,1:1,T15006
5750309883,math,2025-12-18 10:35:00,80,1:3,T15006
5750309883,ela,2026-03-12 12:59:00,45,1:1,T15006
5750309883,math,2025-11-13 14:10:00,47,1:3,T15006
5750309883,math,2025-11-17 14:59:00,73,1:1,T15006
5750309883,math,2025-11-25 14:41:00,64,1:1,T15006
5750309883,math,2025-11-06 11:40:00,85,1:1,T15006
5750309883,math,2025-11-26 10:06:00,78,1:1,T15006
5750309883,math,2025-12-03 14:23:00,51,1:3,T15006
5750309883,math,2025-12-03 11:54:00,40,1:1,T15006
5750309883,math,2025-11-27 09:13:00,73,1:4,T15006
5750309883,math,2026-01-15 10:05:00,49,1:3,T15006
5750309883,ela,2026-03-06 14:55:00,54,1:1,T15006
5750309883,ela,2026-01-22 14:58:00,49,1:5,T85110
5750309883,math,2026-02-27 09:42:00,59,1:2,T15006
5750309883,math,2026-01-15 13:29:00,70,1:1,T15006
5750309883,ela,2026-04-03 13:47:00,56,1:2,T80132
5750309883,ela,2025-12-15 11:25:00,61,1:2,T73465
5750309883,math,2026-01-15 09:04:00,57,1:1,T15006
5750309883,ela,2026-02-20 14:27:00,73,1:2,T15006
5750309883,ela,2026-02-03 12:10:00,77,1:1,T15006
5750309883,math,2025-12-16 10:36:00,74,1:3,T15006
5750309883,math,2026-02-19 09:58:00,84,1:2,T15006
5750309883,math,2025-11-10 14:49:00,38,1:3,T43805
5750309883,ela,2025-11-14 10:56:00,77,1:2,T15006
5750309883,ela,2026-01-09 10:08:00,52,1:1,T72156
5750309883,math,2026-03-23 14:14:00,55,1:2,T15006
5750309883,ela,2025-12-03 10:48:00,32,1:3,T15006
5750309883,ela,2025-12-22 09:26:00,67,1:4,T48390
5750309883,ela,2026-02-09 14:55:00,40,1:1,T38351
5750309883,ela,2026-01-15 14:19:00,67,1:4,T15006
5750309883,math,2026-03-02 09:31:00,5,1:5,T15006
2440634806,math,2026-03-26 11:57:00,65,1:4,T15751
2440634806,math,2026-03-04 13:57:00,75,1:2,T83678
2440634806,math,2025-11-13 10:31:00,65,1:3,T83678
2440634806,math,2026-03-10 12:00:00,56,1:5,T83678
2440634806,ela,2026-02-09 10:46:00,60,1:4,T83678
2440634806,ela,2026-02-02 14:37:00,41,1:1,T83678
2440634806,math,2026-01-08 12:41:00,54,1:1,T83678
2440634806,math,2025-11-04 13:42:00,63,1:3,T83678
2440634806,math,2026-02-23 14:04:00,39,1:1,T83678
2440634806,math,2026-03-13 11:40:00,31,1:3,T43805
2440634806,math,2026-03-02 11:49:00,68,1:5,T83678
2440634806,math,2026-01-07 11:59:00,54,1:2,T83678
2440634806,ela,2026-02-09 12:27:00,62,1:3,T83678
2440634806,math,2026-02-23 09:07:00,68,1:1,T83678
2440634806,math,2026-03-12 10:47:00,60,1:1,T83678
2440634806,math,2025-12-24 11:52:00,69,1:2,T83678
2440634806,math,2026-02-12 12:33:00,49,1:1,T83678
2440634806,ela,2026-02-24 10:44:00,62,1:5,T83678
2440634806,math,2026-04-10 09:40:00,34,1:2,T83678
2440634806,math,2025-11-24 11:26:00,59,1:1,T00804
2440634806,math,2025-12-22 11:17:00,42,1:2,T13517
2440634806,math,2026-04-16 12:38:00,86,1:4,T28800
2440634806,math,2026-02-23 13:50:00,55,1:1,T11057
2440634806,ela,2026-02-19 14:03:00,47,1:4,T83678
2440634806,ela,2026-01-23 10:01:00,56,1:3,T83678
2440634806,ela,2025-12-18 09:49:00,56,1:2,T83678
2440634806,math,2026-02-26 10:22:00,39,1:1,T83678
